year,team_id,coach,coach_id,coach_5year_pake,coach_5year_pase,coach_10year_pake,coach_10year_pase
2015,2015 Duke,Mike Krzyzewski,2015 Mike Krzyzewski,-0.3,-2.2,-4.3,-7.6
2015,2015 Kentucky,John Calipari,2015 John Calipari,8.6,9.1,10.8,10.7
2015,2015 Michigan St.,Tom Izzo,2015 Tom Izzo,2.3,2.5,7.1,8.2
2015,2015 Wisconsin,Bo Ryan,2015 Bo Ryan,0.4,0.8,0.1,1.5
2015,2015 Arizona,Sean Miller,2015 Sean Miller,2.2,2.5,3.6,4.3
2015,2015 Gonzaga,Mark Few,2015 Mark Few,-0.6,-1.3,-1.1,-3
2015,2015 Notre Dame,Mike Brey,2015 Mike Brey,-3.5,-4.2,-4.8,-5.4
2015,2015 Louisville,Rick Pitino,2015 Rick Pitino,1.6,3.4,4.1,6.6
2015,2015 NC St.,Mark Gottfried,2015 Mark Gottfried,-0.3,0.1,-1,-0.6
2015,2015 North Carolina,Roy Williams,2015 Roy Williams,1.7,0.6,7.4,5.4
2015,2015 Oklahoma,Lon Kruger,2015 Lon Kruger,-2.8,-3.2,-1.2,-1.8
2015,2015 UCLA,Steve Alford,2015 Steve Alford,-1.2,-2.4,-3.4,-4.8
2015,2015 Utah,Larry Krystowiak,2015 Larry Krystowiak,0,0,0.5,0.5
2015,2015 West Virginia,Bob Huggins,2015 Bob Huggins,1.4,0.9,0.8,1.1
2015,2015 Wichita St.,Gregg Marshall,2015 Gregg Marshall,0.7,-0.1,0.4,0
2015,2015 Xavier,Chris Mack,2015 Chris Mack,1.2,1.3,1.2,1.3
2015,2015 Albany,Will Brown,2015 Will Brown,-0.2,-0.1,-0.6,-0.4
2015,2015 Baylor,Scott Drew,2015 Scott Drew,2.7,3.3,2.1,2.6
2015,2015 Belmont,Rick Byrd,2015 Rick Byrd,-1.7,-1.1,-2,-1.4
2015,2015 Boise St.,Leon Rice,2015 Leon Rice,0,0,0,0
2015,2015 Buffalo,Bobby Hurley,2015 Bobby Hurley,0,0,0,0
2015,2015 BYU,Dave Rose,2015 Dave Rose,-1.1,-0.5,-3.2,-2.6
2015,2015 Coastal Carolina,Cliff Ellis,2015 Cliff Ellis,0,0,0,0
2015,2015 Davidson,Bob McKillop,2015 Bob McKillop,-0.8,-0.4,0.2,1.6
2015,2015 Eastern Washington,Jim Hayford,2015 Jim Hayford,0,0,0,0
2015,2015 Georgia,Mark Fox,2015 Mark Fox,-0.5,-0.6,-0.8,-1.2
2015,2015 Hampton,Edward Joyner Jr.,2015 Edward Joyner Jr.,-0.1,-0.1,-0.1,-0.1
2015,2015 Harvard,Tommy Amaker,2015 Tommy Amaker,0.5,0.8,0.5,0.8
2015,2015 Indiana,Tom Crean,2015 Tom Crean,-0.3,-0.9,-2.3,-2.5
2015,2015 Iowa St.,Fred Hoiberg,2015 Fred Hoiberg,0.8,0.9,0.8,0.9
2015,2015 Lafayette,Fran O'Hanlon,2015 Fran O'Hanlon,0,0,0,0
2015,2015 LSU,Johnny Jones,2015 Johnny Jones,-0.1,-0.1,-0.2,-0.2
2015,2015 Manhattan,Steve Masiello,2015 Steve Masiello,-0.2,-0.2,-0.2,-0.2
2015,2015 Mississippi,Andy Kennedy,2015 Andy Kennedy,0.4,0.5,0.4,0.5
2015,2015 New Mexico St.,Marvin Menzies,2015 Marvin Menzies,-1.3,-1.2,-1.3,-1.2
2015,2015 North Dakota St.,Dave Richman,2015 Dave Richman,0,0,0,0
2015,2015 North Florida,Matthew Driscoll,2015 Matthew Driscoll,0,0,0,0
2015,2015 Northeastern,Bill Coen,2015 Bill Coen,0,0,0,0
2015,2015 Oklahoma St.,Travis Ford,2015 Travis Ford,-2.4,-2.6,-2.4,-2.4
2015,2015 Providence,Ed Cooley,2015 Ed Cooley,-0.6,-0.7,-0.6,-0.7
2015,2015 Purdue,Matt Painter,2015 Matt Painter,-0.3,0,0.3,1.2
2015,2015 Robert Morris,Andrew Toole,2015 Andrew Toole,0,0,0,0
2015,2015 SMU,Larry Brown,2015 Larry Brown,0,0,0,0
2015,2015 St. John's,Steve Lavin,2015 Steve Lavin,-0.8,-1.1,-0.8,-1.1
2015,2015 Stephen F. Austin,Brad Underwood,2015 Brad Underwood,0.6,0.5,0.6,0.5
2015,2015 Texas,Rick Barnes,2015 Rick Barnes,-2.7,-1.8,-2.6,-1.6
