year,conference,conf_id,conf_5year_pake,conf_5year_pase,conf_10year_pake,conf_10year_pase
2015,A10,2015 A10,0.6,0.1,0.3,-0.3
2015,ACC,2015 ACC,-2.9,-5.4,-6.6,-12.1
2015,AE,2015 AE,-0.6,-0.2,-0.5,0.2
2015,Amer,2015 Amer,3,4.7,3,4.7
2015,ASun,2015 ASun,0.8,1.7,0.3,1.3
2015,B10,2015 B10,1.4,3.8,1,6.5
2015,B12,2015 B12,-7.7,-9.4,-6.5,-8.4
2015,BE,2015 BE,-5.6,-10.8,-6.1,-12.6
2015,BSky,2015 BSky,-0.9,-0.8,-0.8,-0.6
2015,BSth,2015 BSth,-0.2,0,-0.7,-0.2
2015,BW,2015 BW,-1.2,-0.8,-2.7,-1.7
2015,CAA,2015 CAA,3.1,3.6,4.2,4.6
2015,CUSA,2015 CUSA,-2.5,-2.9,1.1,0.2
2015,Horz,2015 Horz,7,7.8,8.8,10.6
2015,Ivy,2015 Ivy,1.7,2.1,0.6,1.3
2015,MAAC,2015 MAAC,-1.2,-0.8,-0.8,-0.1
2015,MAC,2015 MAC,1.3,1.8,-0.3,0.1
2015,MEAC,2015 MEAC,0.4,0.6,0.3,0.5
2015,MVC,2015 MVC,1.9,1.6,-0.4,0.2
2015,MWC,2015 MWC,-6.8,-8.9,-9.2,-11.2
2015,NEC,2015 NEC,-0.4,-0.2,-0.7,-0.4
2015,OVC,2015 OVC,0.7,1.4,0.1,1
2015,P12,2015 P12,4.4,5.3,7.5,7.5
2015,Pat,2015 Pat,-0.6,0,0.1,0.7
2015,SB,2015 SB,-0.4,-0.3,0.7,0.6
2015,SC,2015 SC,-1.6,-0.9,-0.7,1
2015,SEC,2015 SEC,10.2,11.6,14.6,16.8
2015,Slnd,2015 Slnd,0.3,0.2,0.4,0.6
2015,Sum,2015 Sum,-0.5,-0.3,-1.6,-0.9
2015,SWAC,2015 SWAC,-0.1,0,-0.2,-0.1
2015,WAC,2015 WAC,-3,-2.3,-4.8,-5.1
2015,WCC,2015 WCC,-2,-2.2,-2.8,-4.4
2016,A10,2016 A10,1,0.1,0.1,-1
2016,ACC,2016 ACC,1.9,-0.3,-2,-6.9
2016,AE,2016 AE,-0.7,-0.3,-1.4,-0.8
2016,Amer,2016 Amer,2.4,3.9,2.4,3.9
2016,ASun,2016 ASun,0.9,1.7,0.4,1.4
2016,B10,2016 B10,3.5,5.6,1.6,4.8
2016,B12,2016 B12,-8.2,-12.1,-7.7,-10.6
2016,BE,2016 BE,-4,-8.1,-7.4,-15.2
2016,BSky,2016 BSky,-0.7,-0.8,-0.9,-0.9
2016,BSth,2016 BSth,-0.3,-0.1,-0.5,-0.1
2016,BW,2016 BW,-1.3,-1,-2.4,-2.1
2016,CAA,2016 CAA,2.8,3.1,4.3,4.9
2016,CUSA,2016 CUSA,-0.8,-1.3,0,-1
2016,Horz,2016 Horz,3.1,3.7,6.8,8.9
2016,Ivy,2016 Ivy,0,0.3,0.7,1.3
2016,MAAC,2016 MAAC,-0.7,-0.6,-0.6,0.1
2016,MAC,2016 MAC,0,0.5,-0.7,-0.2
2016,MEAC,2016 MEAC,0.5,0.7,0.3,0.5
2016,MVC,2016 MVC,0.6,1.1,0.6,2.3
2016,MWC,2016 MWC,-5.2,-7,-9.3,-11.9
2016,NEC,2016 NEC,-0.3,-0.1,-0.7,-0.4
2016,OVC,2016 OVC,0.3,0.5,0.1,1
2016,P12,2016 P12,4.8,6.8,8.6,12.2
2016,Pat,2016 Pat,-0.6,0,-0.7,-0.1
2016,SB,2016 SB,-0.3,-0.3,1,0.7
2016,SC,2016 SC,-1.6,-1.2,-1,0.6
2016,SEC,2016 SEC,6.7,10.1,13.5,16.5
2016,Slnd,2016 Slnd,0.1,-0.2,0.2,0.2
2016,Sum,2016 Sum,-0.4,-0.2,-1.7,-1
2016,SWAC,2016 SWAC,-0.1,0,-0.2,-0.1
2016,WAC,2016 WAC,-2.2,-1.3,-5.1,-4.9
2016,WCC,2016 WCC,-2.8,-3.2,-1.2,-2.3
2017,A10,2017 A10,0,-0.7,0,-1.3
2017,ACC,2017 ACC,8.1,6.1,5.7,1.1
2017,AE,2017 AE,-0.8,-0.5,-1.5,-1
2017,Amer,2017 Amer,1.3,3.1,1.3,3.1
2017,ASun,2017 ASun,1.4,1.9,0.4,1.5
2017,B10,2017 B10,5.2,6.7,3.7,9.1
2017,B12,2017 B12,-8.6,-12.5,-8.1,-12.1
2017,BE,2017 BE,-0.3,-2.5,-6,-11.7
2017,BSky,2017 BSky,-0.8,-0.8,-1.7,-1.5
2017,BSth,2017 BSth,-0.3,-0.1,-0.2,-0.1
2017,BW,2017 BW,-0.7,-0.1,-1.6,-1.1
2017,CAA,2017 CAA,-0.3,-0.2,1.8,1.9
2017,CUSA,2017 CUSA,0.3,0.1,0.5,0.9
2017,Horz,2017 Horz,-1.3,-0.8,6.2,8.4
2017,Ivy,2017 Ivy,0.5,1.1,1.2,1.9
2017,MAAC,2017 MAAC,-0.8,-0.7,-0.6,0.1
2017,MAC,2017 MAC,0,0.4,-0.6,0.2
2017,MEAC,2017 MEAC,0.6,0.7,0.3,0.5
2017,MVC,2017 MVC,1,2,-0.3,1.4
2017,MWC,2017 MWC,-4.8,-6.3,-8.6,-11.1
2017,NEC,2017 NEC,-0.1,0,-0.6,-0.4
2017,OVC,2017 OVC,-0.5,-0.3,0.4,1.1
2017,P12,2017 P12,0.4,-1.4,3.7,3.2
2017,Pat,2017 Pat,-0.4,0.1,-1.2,-0.5
2017,SB,2017 SB,0.2,0.2,1.7,1.4
2017,SC,2017 SC,-1.5,-1.5,-1,0.2
2017,SEC,2017 SEC,4.7,9,9.5,10.9
2017,Slnd,2017 Slnd,0.4,0.7,-0.2,0.2
2017,Sum,2017 Sum,-0.5,-0.5,-2,-1.5
2017,SWAC,2017 SWAC,-0.1,0,-0.1,-0.1
2017,WAC,2017 WAC,-1.4,-0.9,-3.8,-3.4
2017,WCC,2017 WCC,-2.2,-2.2,-1.3,-1.1
2018,A10,2018 A10,-0.5,-2.3,-0.4,-2.2
2018,ACC,2018 ACC,7.3,6.5,7.2,1.9
2018,AE,2018 AE,-0.9,-0.8,-1.5,-1
2018,Amer,2018 Amer,-0.4,2,-0.4,2
2018,ASun,2018 ASun,1.8,1.9,0.3,1.4
2018,B10,2018 B10,6.8,8,5.2,9.7
2018,B12,2018 B12,-11.4,-15.4,-9.3,-11.9
2018,BE,2018 BE,-3.7,-5.1,-6.1,-12.9
2018,BSky,2018 BSky,-0.7,-0.7,-1.7,-1.5
2018,BSth,2018 BSth,-0.4,-0.4,-0.8,-0.7
2018,BW,2018 BW,-0.1,0.4,-1.3,-0.6
2018,CAA,2018 CAA,-1.1,-1.2,1.4,1.6
2018,CUSA,2018 CUSA,1.9,1.9,0,0.7
2018,Horz,2018 Horz,-1.3,-0.8,5.6,7.6
2018,Ivy,2018 Ivy,0.6,1.1,0.9,1.5
2018,MAAC,2018 MAAC,-0.8,-0.7,-0.6,-0.1
2018,MAC,2018 MAC,-1.5,-1.5,-0.4,0.2
2018,MEAC,2018 MEAC,-0.3,-0.2,0.3,0.5
2018,MVC,2018 MVC,1.5,3.2,-0.2,2
2018,MWC,2018 MWC,-3.1,-3.9,-9.5,-12
2018,NEC,2018 NEC,0,0,-0.6,-0.4
2018,OVC,2018 OVC,-0.4,-0.3,0.3,1
2018,P12,2018 P12,3,1,4.3,4
2018,Pat,2018 Pat,-1.1,-1,-1.1,-0.5
2018,SB,2018 SB,0.1,0.1,1.7,1.4
2018,SC,2018 SC,-1.4,-1.5,-0.8,0.2
2018,SEC,2018 SEC,6.2,9.9,10.4,11.5
2018,Slnd,2018 Slnd,0.4,0.7,0,0.3
2018,Sum,2018 Sum,-0.1,-0.4,-1.7,-1.3
2018,SWAC,2018 SWAC,-0.1,0,-0.1,-0.1
2018,WAC,2018 WAC,-1.3,-0.8,-4.1,-3.4
2018,WCC,2018 WCC,0.1,0.5,0.5,1.3
2019,A10,2019 A10,-2.4,-4.7,-0.4,-2.2
2019,ACC,2019 ACC,4.6,4.8,7.2,1.9
2019,AE,2019 AE,0.1,0.3,-1.5,-1
