high_seed,low_seed,seed_diff,round,round,10_years_games_played,10_years_high_seed_wins,10_years_win_pct,5_years_games_played,5_years_high_seed_wins,5_years_win_pct
1,16,15,1,First Round,40,38,0.95,20,19,0.95
2,15,13,1,First Round,40,36,0.9,20,17,0.85
3,14,11,1,First Round,40,35,0.875,20,18,0.9
4,13,9,1,First Round,40,32,0.8,20,16,0.8
5,12,7,1,First Round,40,27,0.675,20,13,0.65
6,11,5,1,First Round,40,19,0.475,20,10,0.5
7,10,3,1,First Round,40,25,0.625,20,13,0.65
8,9,1,1,First Round,40,16,0.4,20,7,0.35
1,8,7,2,Second Round,18,13,0.7222222222,9,6,0.6666666667
1,9,8,2,Second Round,20,19,0.95,10,10,1
2,7,5,2,Second Round,22,16,0.7272727273,10,9,0.9
2,10,8,2,Second Round,14,12,0.8571428571,7,5,0.7142857143
3,6,3,2,Second Round,17,13,0.7647058824,10,6,0.6
3,11,8,2,Second Round,18,11,0.6111111111,8,5,0.625
4,5,1,2,Second Round,20,13,0.65,9,6,0.6666666667
4,12,8,2,Second Round,5,4,0.8,7,6,0.8571428571
5,13,8,2,Second Round,7,7,1,4,4,1
6,14,8,2,Second Round,2,2,1,0,0,1
7,15,8,2,Second Round,3,0,0,3,0,0
9,16,7,2,Second Round,2,2,1,1,1,1
10,15,5,2,Second Round,1,1,1,0,0,1
11,14,3,2,Second Round,3,3,1,2,2,1
12,13,1,2,Second Round,1,1,1,0,0,1
1,4,3,3,Sweet 16,16,13,0.8125,8,5,0.625
1,5,4,3,Sweet 16,15,11,0.7333333333,8,5,0.625
1,12,11,3,Sweet 16,1,1,1,0,0,1
2,3,1,3,Sweet 16,16,11,0.6875,7,5,0.7142857143
2,6,4,3,Sweet 16,3,2,0.6666666667,2,1,0.5
2,11,9,3,Sweet 16,5,4,0.8,2,1,0.5
3,10,7,3,Sweet 16,1,1,1,1,1,1
3,7,4,3,Sweet 16,6,4,0.6666666667,1,1,1
3,15,12,3,Sweet 16,1,0,0,1,0,0
4,9,5,3,Sweet 16,2,0,0,1,0,0
4,8,4,3,Sweet 16,4,3,0.75,2,1,0.5
5,9,4,3,Sweet 16,1,0,0,0,0,0
6,7,1,3,Sweet 16,1,1,1,0,0,1
6,15,9,3,Sweet 16,1,1,1,1,1,1
7,11,4,3,Sweet 16,1,0,0,0,0,0
8,12,4,3,Sweet 16,1,0,0,1,0,0
10,11,1,3,Sweet 16,2,2,1,1,1,1
1,2,1,4,Elite Eight,11,9,0.8181818182,4,4,1
1,3,2,4,Elite Eight,8,6,0.75,3,3,1
1,10,9,4,Elite Eight,2,2,1,1,1,1
1,6,5,4,Elite Eight,2,2,1,1,1,1
1,11,10,4,Elite Eight,2,1,0.5,1,0,0
2,5,3,4,Elite Eight,3,1,0.3333333333,2,1,0.5
2,4,2,4,Elite Eight,1,1,1,1,1,1
2,12,10,4,Elite Eight,1,1,1,1,1,1
3,9,6,4,Elite Eight,2,1,0.5,1,0,0
3,4,1,4,Elite Eight,1,0,0,1,0,0
4,7,3,4,Elite Eight,2,0,0,0,0,1
4,11,7,4,Elite Eight,1,0,0,1,0,0
4,6,2,4,Elite Eight,1,1,1,1,1,1
5,6,1,4,Elite Eight,1,1,1,1,1,1
8,15,7,4,Elite Eight,1,1,1,1,1,1
9,11,2,4,Elite Eight,1,0,0,0,0,0
1,1,0,5,Final Four,8,4,0.5,4,2,0.5
1,3,2,5,Final Four,1,1,1,0,0,1
1,4,3,5,Final Four,1,1,1,1,1,1
1,10,9,5,Final Four,1,1,1,0,0,1
1,11,10,5,Final Four,2,2,1,2,2,1
1,2,1,5,Final Four,1,1,1,1,1,1
1,2,1,5,Final Four,1,1,1,1,1,1
1,5,4,5,Final Four,1,1,1,0,0,1
1,7,6,5,Final Four,2,2,1,0,0,1
2,2,0,5,Final Four,2,1,0.5,0,0,0.5
2,3,1,5,Final Four,1,0,0,0,0,0
2,8,6,5,Final Four,1,0,0,1,0,0
3,11,8,5,Final Four,1,1,1,0,0,1
4,5,1,5,Final Four,1,1,1,1,1,1
5,9,4,5,Final Four,1,1,1,1,1,1
1,1,0,6,Championship,10,5,0.5,6,3,0.5
1,2,1,6,Championship,1,0,0,0,0,0
1,3,2,6,Championship,2,2,1,0,0,1
1,8,7,6,Championship,1,1,1,1,1,1
4,5,1,6,Championship,1,1,1,1,1,1
