team_id,year,team,region,seed,finish,weekend,coach,coach_id,conference,conf,conf_id,kenpom_id,torvik_id
2015 Duke,2015,Duke,South,1,Champion,3,Mike Krzyzewski,2015 Mike Krzyzewski,ACC,ACC,2015 ACC,2015 Duke,2015 Duke
2015 Kentucky,2015,Kentucky,Midwest,1,Final Four,3,John Calipari,2015 John Calipari,SEC,SEC,2015 SEC,2015 Kentucky,2015 Kentucky
2015 Michigan St.,2015,Michigan St.,East,7,Final Four,3,Tom Izzo,2015 Tom Izzo,Big 10,B10,2015 B10,2015 Michigan St.,2015 Michigan St.
2015 Wisconsin,2015,Wisconsin,West,1,Runner Up,3,Bo Ryan,2015 Bo Ryan,Big 10,B10,2015 B10,2015 Wisconsin,2015 Wisconsin
2015 Arizona,2015,Arizona,West,2,Elite Eight,2,Sean Miller,2015 Sean Miller,Pac 12,P12,2015 P12,2015 Arizona,2015 Arizona
2015 Gonzaga,2015,Gonzaga,South,2,Elite Eight,2,Mark Few,2015 Mark Few,WCC,WCC,2015 WCC,2015 Gonzaga,2015 Gonzaga
2015 Notre Dame,2015,Notre Dame,Midwest,3,Elite Eight,2,Mike Brey,2015 Mike Brey,ACC,ACC,2015 ACC,2015 Notre Dame,2015 Notre Dame
2015 Louisville,2015,Louisville,East,4,Sweet 16,2,Rick Pitino,2015 Rick Pitino,ACC,ACC,2015 ACC,2015 Louisville,2015 Louisville
2015 NC St.,2015,North Carolina St.,East,8,Sweet 16,2,Mark Gottfried,2015 Mark Gottfried,ACC,ACC,2015 ACC,2015 North Carolina St.,2015 N.C. State
2015 North Carolina,2015,North Carolina,West,4,Sweet 16,2,Roy Williams,2015 Roy Williams,ACC,ACC,2015 ACC,2015 North Carolina,2015 North Carolina
2015 Oklahoma,2015,Oklahoma,East,3,Sweet 16,2,Lon Kruger,2015 Lon Kruger,Big 12,B12,2015 B12,2015 Oklahoma,2015 Oklahoma
2015 UCLA,2015,UCLA,South,11,Sweet 16,2,Steve Alford,2015 Steve Alford,Pac 12,P12,2015 P12,2015 UCLA,2015 UCLA
2015 Utah,2015,Utah,South,5,Sweet 16,2,Larry Krystowiak,2015 Larry Krystowiak,Pac 12,P12,2015 P12,2015 Utah,2015 Utah
2015 West Virginia,2015,West Virginia,Midwest,5,Sweet 16,2,Bob Huggins,2015 Bob Huggins,Big 12,B12,2015 B12,2015 West Virginia,2015 West Virginia
2015 Wichita St.,2015,Wichita St.,Midwest,7,Sweet 16,2,Gregg Marshall,2015 Gregg Marshall,Missouri Valley,MVC,2015 MVC,2015 Wichita St.,2015 Wichita St.
2015 Xavier,2015,Xavier,West,6,Sweet 16,2,Chris Mack,2015 Chris Mack,Big East,BE,2015 BE,2015 Xavier,2015 Xavier
2015 Albany,2015,Albany,East,14,First Round,1,Will Brown,2015 Will Brown,Amerian East,AE,2015 AE,2015 Albany,2015 Albany
2015 Baylor,2015,Baylor,West,3,First Round,1,Scott Drew,2015 Scott Drew,Big 12,B12,2015 B12,2015 Baylor,2015 Baylor
2015 Belmont,2015,Belmont,East,15,First Round,1,Rick Byrd,2015 Rick Byrd,Ohio Valley,OVC,2015 OVC,2015 Belmont,2015 Belmont
2015 Boise St.,2015,Boise St.,East,11,First Round,1,Leon Rice,2015 Leon Rice,Mountain West,MWC,2015 MWC,2015 Boise St.,2015 Boise St.
2015 Buffalo,2015,Buffalo,Midwest,12,First Round,1,Bobby Hurley,2015 Bobby Hurley,MAC,MAC,2015 MAC,2015 Buffalo,2015 Buffalo
2015 BYU,2015,BYU,West,11,First Round,1,Dave Rose,2015 Dave Rose,WCC,WCC,2015 WCC,2015 BYU,2015 BYU
2015 Coastal Carolina,2015,Coastal Carolina,West,16,First Round,1,Cliff Ellis,2015 Cliff Ellis,Big South,BSth,2015 BSth,2015 Coastal Carolina,2015 Coastal Carolina
2015 Davidson,2015,Davidson,South,10,First Round,1,Bob McKillop,2015 Bob McKillop,Atlantic 10,A10,2015 A10,2015 Davidson,2015 Davidson
2015 Eastern Washington,2015,Eastern Washington,South,13,First Round,1,Jim Hayford,2015 Jim Hayford,Big Sky,BSky,2015 BSky,2015 Eastern Washington,2015 Eastern Washington
2015 Georgia,2015,Georgia,East,10,First Round,1,Mark Fox,2015 Mark Fox,SEC,SEC,2015 SEC,2015 Georgia,2015 Georgia
2015 Hampton,2015,Hampton,Midwest,16,First Round,1,Edward Joyner Jr.,2015 Edward Joyner Jr.,MEAC,MEAC,2015 MEAC,2015 Hampton,2015 Hampton
2015 Harvard,2015,Harvard,West,13,First Round,1,Tommy Amaker,2015 Tommy Amaker,Ivy,Ivy,2015 Ivy,2015 Harvard,2015 Harvard
2015 Indiana,2015,Indiana,Midwest,10,First Round,1,Tom Crean,2015 Tom Crean,Big 10,B10,2015 B10,2015 Indiana,2015 Indiana
2015 Iowa St.,2015,Iowa St.,South,3,First Round,1,Fred Hoiberg,2015 Fred Hoiberg,Big 12,B12,2015 B12,2015 Iowa St.,2015 Iowa St.
2015 Lafayette,2015,Lafayette,East,16,First Round,1,Fran O'Hanlon,2015 Fran O'Hanlon,Patriot,Pat,2015 Pat,2015 Lafayette,2015 Lafayette
2015 LSU,2015,LSU,East,9,First Round,1,Johnny Jones,2015 Johnny Jones,SEC,SEC,2015 SEC,2015 LSU,2015 LSU
2015 Manhattan,2015,Manhattan,Midwest,16,First Round,1,Steve Masiello,2015 Steve Masiello,MAAC,MAAC,2015 MAAC,2015 Manhattan,2015 Manhattan
2015 Mississippi,2015,Mississippi,West,11,First Round,1,Andy Kennedy,2015 Andy Kennedy,SEC,SEC,2015 SEC,2015 Mississippi,2015 Mississippi
2015 New Mexico St.,2015,New Mexico St.,Midwest,15,First Round,1,Marvin Menzies,2015 Marvin Menzies,WAC,WAC,2015 WAC,2015 New Mexico St.,2015 New Mexico St.
2015 North Dakota St.,2015,North Dakota St.,South,15,First Round,1,Dave Richman,2015 Dave Richman,Summit,Sum,2015 Sum,2015 North Dakota St.,2015 North Dakota St.
2015 North Florida,2015,North Florida,South,16,First Round,1,Matthew Driscoll,2015 Matthew Driscoll,Atlantic Sun,ASun,2015 ASun,2015 North Florida,2015 North Florida
2015 Northeastern,2015,Northeastern,Midwest,14,First Round,1,Bill Coen,2015 Bill Coen,CAA,CAA,2015 CAA,2015 Northeastern,2015 Northeastern
2015 Oklahoma St.,2015,Oklahoma St.,West,9,First Round,1,Travis Ford,2015 Travis Ford,Big 12,B12,2015 B12,2015 Oklahoma St.,2015 Oklahoma St.
2015 Providence,2015,Providence,East,6,First Round,1,Ed Cooley,2015 Ed Cooley,Big East,BE,2015 BE,2015 Providence,2015 Providence
2015 Purdue,2015,Purdue,Midwest,9,First Round,1,Matt Painter,2015 Matt Painter,Big 10,B10,2015 B10,2015 Purdue,2015 Purdue
2015 Robert Morris,2015,Robert Morris,South,16,First Round,1,Andrew Toole,2015 Andrew Toole,NEC,NEC,2015 NEC,2015 Robert Morris,2015 Robert Morris
2015 SMU,2015,SMU,South,6,First Round,1,Larry Brown,2015 Larry Brown,American,Amer,2015 Amer,2015 SMU,2015 SMU
2015 St. John's,2015,St. John's,South,9,First Round,1,Steve Lavin,2015 Steve Lavin,Big East,BE,2015 BE,2015 St. John's,2015 St. John's
2015 Stephen F. Austin,2015,Stephen F. Austin,South,12,First Round,1,Brad Underwood,2015 Brad Underwood,Southland,Slnd,2015 Slnd,2015 Stephen F. Austin,2015 Stephen F. Austin
2015 Texas,2015,Texas,Midwest,11,First Round,1,Rick Barnes,2015 Rick Barnes,Big 12,B12,2015 B12,2015 Texas,2015 Texas
2015 Texas Southern,2015,Texas Southern,West,15,First Round,1,Mike Davis,2015 Mike Davis,SWAC,SWAC,2015 SWAC,2015 Texas Southern,2015 Texas Southern
2015 UC Irvine,2015,UC Irvine,East,13,First Round,1,Russell Turner,2015 Russell Turner,Big West,BW,2015 BW,2015 UC Irvine,2015 UC Irvine
