,game_id,year,region,round,high_bracket_team,low_bracket_team,high_bracket_seed,low_bracket_seed,win,5man_bpm,3man_bpm,wab,kenpom_rtg,torvik_rtg,5man_obpm,3man_obpm,kenpom_off,torvik_off,efg_pct,2p_pct,3p_pct,ft_pct,ftr,tor,ast_pct,blk_pct,off_dunk_fg_pct,off_close2_fg_pct,off_far2_fg_pct,off_3pt_fg_pct,net_efg_margin,net_turnover_margin,net_rebounding_margin,net_ftr_margin,rim_efficiency,perimeter_efficiency,three_point_volume_efficiency,paint_touch_rate,effective_possession_rate,offensive_versatility_score,assist_to_usage_ratio,free_throw_advantage,block_efficiency,experience_weighted_production,four_factors_composite,lineup_depth_quality,5man_dbpm,3man_dbpm,kenpom_def,torvik_def,efgd_pct,2pd_pct,3pd_pct,ftd_pct,ftrd,tord,astd_pct,blked_pct,def_dunk_fg_pct,def_close2_fg_pct,def_far2_fg_pct,def_3pt_fg_pct,def_net_efg_margin,def_net_turnover_margin,def_net_rebounding_margin,def_net_ftr_margin,def_rim_efficiency,def_perimeter_efficiency,def_three_point_volume_efficiency,def_paint_touch_rate,def_effective_possession_rate,defensive_versatility_score,def_assist_suppression,def_free_throw_advantage,def_block_efficiency,def_experience_impact,def_four_factors_composite,def_lineup_depth_quality,orb_pct,drb_pct,size,height,experience,bench,adj_tempo,size_speed_index,seed
0,20151101a,2015,Midwest,First Round,2015 Kentucky,2015 Hampton,1,16,1,54.1,34.0,25.30369905,45.94466,0.720058225,28.4,18.0,25.820999999999998,21.971488699999995,-1.7000000000000028,-4.200000000000003,-30.599999999999994,40.900000000000006,-10.300000000000004,63.49999999999999,1.6000000000000014,-71.5,84.5,25.200000000000003,-32.099999999999994,-31.199999999999996,-16.200000000000003,-121.19999999999999,-64.30000000000001,-35.30000000000001,19.874700000000004,-19.5443,-10.5392,-12.599999999999994,32.55129999999999,4.015851308136519,-1.959020050378646,1904.71,-8.127976384319878,29.804,15.54999999999999,-10.399999999999999,23.3,16.2,20.123500000000007,22.397081850000006,14.5,15.0,42.199999999999996,-30.200000000000003,25.000000000000007,-57.7,13.399999999999999,83.4,-73.8,-2.6000000000000014,33.8,42.4,16.200000000000003,121.19999999999999,64.30000000000001,35.30000000000001,-6.023900000000001,25.672200000000004,12.2894,19.700000000000003,-23.265600000000003,-5.247733099919401,3.0702461401648815,-1904.71,4.999154849912101,18.017,-5.115000000000002,-7.1,9.5,-1.1999999999999957,3.430000000000007,7.8,-1.26,4.699999999999996,-5.799999999999997,5.00578,15
1,20151102a,2015,Midwest,First Round,2015 Cincinnati,2015 Purdue,8,9,1,1.6999999999999993,1.6999999999999993,-2.064611014,0.2685999999999993,-0.01951565799999999,-2.6000000000000014,2.1999999999999993,5.1965999999999894,0.9066168300000044,-4.100000000000001,-7.200000000000003,-31.700000000000003,37.10000000000001,-23.700000000000003,60.900000000000006,4.600000000000001,-75.60000000000001,84.2,21.799999999999997,-34.99999999999999,-32.1,-8.899999999999999,-120.60000000000001,-63.69999999999999,-55.8,14.853700000000005,-24.294399999999996,-10.0208,-22.300000000000004,29.9638,3.8343716735036537,-1.7586386837920873,977.0600000000004,-6.2980630351633575,-0.4319999999999986,11.270000000000003,4.800000000000001,1.6999999999999993,-0.5,-4.9285,-2.6215674099999973,4.799999999999997,7.0,33.599999999999994,-33.400000000000006,32.099999999999994,-59.7,-15.599999999999994,77.9,-72.5,-18.4,34.300000000000004,35.39999999999999,8.899999999999999,120.60000000000001,63.69999999999999,55.8,-7.939200000000007,19.828400000000002,12.082499999999996,16.799999999999997,-29.2935,-0.9249892678234914,1.3997061609795378,-977.0600000000004,5.742454312961737,5.327999999999999,-9.090000000000003,-2.1999999999999993,6.199999999999996,-4.5000000000000036,-0.9000000000000057,-2.1799999999999997,0.24,-0.509999999999998,-4.799999999999997,-1.4813200000000002,1
2,20151103a,2015,Midwest,First Round,2015 West Virginia,2015 Buffalo,5,12,1,4.4,0.9000000000000004,4.913673546,6.4140999999999995,0.10172212400000002,6.700000000000001,5.5,12.256499999999988,8.010184850000002,-4.899999999999999,-6.200000000000003,-35.1,32.2,-25.800000000000004,61.5,6.5,-82.8,85.9,10.899999999999999,-31.700000000000003,-35.49999999999999,-3.6999999999999957,-116.89999999999999,-62.900000000000006,-27.60000000000001,5.776200000000003,-19.6299,-14.911999999999995,-17.299999999999997,27.688799999999993,3.4416020723410696,-2.294628635997414,2102.57,-8.023287036695894,6.984000000000002,11.645000000000003,-1.2000000000000006,-3.4000000000000004,-4.6000000000000005,-5.843299999999999,-1.6876529999999974,-1.2000000000000028,0.7999999999999972,29.5,-40.900000000000006,1.8000000000000043,-55.39999999999999,-5.200000000000003,78.8,-75.89999999999999,-23.4,35.099999999999994,29.299999999999997,3.6999999999999957,116.89999999999999,62.900000000000006,27.60000000000001,-15.877,19.9902,9.9867,3.1999999999999957,-27.2628,-3.964787835521406,1.8336668012586768,-2102.57,9.886906547970295,-8.766,-14.779999999999994,-1.2000000000000002,10.5,-3.6000000000000014,-0.39000000000000057,1.3,-0.3799999999999999,13.3,-0.10000000000000853,0.89858,7
3,20151104a,2015,Midwest,First Round,2015 Maryland,2015 Valparaiso,4,13,1,8.899999999999999,4.699999999999999,6.431732618,5.2227,0.08375049099999998,-3.5,6.999999999999999,6.784400000000005,4.157010299999996,-4.200000000000003,-10.100000000000001,-29.799999999999997,45.60000000000001,-22.799999999999997,62.99999999999999,4.200000000000003,-79.2,90.5,19.299999999999997,-36.8,-29.199999999999996,-7.400000000000006,-126.6,-77.80000000000001,-58.19999999999999,13.638199999999998,-24.4773,-10.264,-31.1,31.285799999999995,6.7138819761484285,-1.7368264713361181,1412.8100000000013,-6.909612413457227,-3.565999999999999,10.969999999999985,10.5,7.5,-2.499999999999999,-1.5618000000000052,1.1067585400000013,3.200000000000003,6.899999999999999,30.699999999999996,-34.7,35.39999999999999,-63.60000000000001,0.7000000000000028,77.3,-64.7,-16.6,33.900000000000006,29.200000000000003,7.400000000000006,126.6,77.80000000000001,58.19999999999999,-13.314299999999998,25.049099999999996,12.162399999999998,23.1,-32.1368,-7.356608400789412,2.1999259862639167,-1412.8100000000013,7.633122873865064,12.330000000000002,-10.230000000000004,-10.0,1.5999999999999979,-4.600000000000001,0.8799999999999955,1.58,0.1200000000000001,-0.6700000000000017,1.3999999999999915,1.05358,9
4,20151105a,2015,Midwest,First Round,2015 Butler,2015 Texas,6,11,1,7.5,4.299999999999999,2.586070227,-0.4917000000000016,-0.0001062199999999347,4.300000000000001,0.6999999999999993,3.3130000000000024,-0.1134298399999949,-8.699999999999996,-15.0,-29.400000000000006,34.099999999999994,-25.299999999999997,68.39999999999999,-2.5,-82.9,75.0,11.100000000000001,-38.2,-29.900000000000006,-12.399999999999999,-129.1,-72.6,-55.1,10.4954,-27.715300000000006,-9.9547,-28.39999999999999,32.349,9.317247135629245,-1.9075219396735767,1053.87,-4.429023943795925,11.617000000000003,11.125000000000007,-3.6000000000000014,5.100000000000001,3.5999999999999996,-3.8038999999999987,-0.2630198700000079,3.700000000000003,4.100000000000001,35.50000000000001,-40.30000000000001,29.800000000000004,-60.7,-6.200000000000003,68.8,-75.1,-22.800000000000004,29.89999999999999,35.300000000000004,12.399999999999999,129.1,72.6,55.1,-13.241900000000001,20.570899999999995,12.0373,23.9,-29.271700000000003,-8.164153514944047,2.190906208161462,-1053.87,10.248352399725725,14.109000000000002,-11.844999999999999,-1.5000000000000018,6.5,-13.100000000000001,-0.3499999999999943,-3.69,0.3600000000000001,-19.22,1.1999999999999957,-2.32293,5
5,20151106a,2015,Midwest,First Round,2015 Notre Dame,2015 Northeastern,3,14,1,20.9,12.899999999999999,12.687346194,19.24985,0.2722254500000001,22.400000000000002,16.9,27.694000000000003,25.252723399999994,8.200000000000003,7.100000000000001,-26.39999999999999,42.7,-38.199999999999996,70.0,3.6999999999999957,-81.0,87.19999999999999,25.099999999999994,-23.299999999999997,-26.699999999999996,10.900000000000006,-131.2,-85.1,-72.69999999999999,17.755999999999997,-13.5366,-4.1618999999999975,-3.299999999999997,42.2992,1.7620739097852436,-1.7104605068887455,1158.130000000001,-9.286905332433891,39.54,15.550000000000004,-5.500000000000002,2.5,-3.9000000000000004,-8.444000000000003,-6.4613919500000065,-2.700000000000003,-0.29999999999999716,28.299999999999997,-42.60000000000001,34.5,-61.199999999999996,-10.899999999999999,83.7,-82.5,-19.599999999999994,25.500000000000007,28.800000000000004,-10.900000000000006,131.2,85.1,72.69999999999999,-20.15449999999999,23.94310000000001,9.458000000000006,9.100000000000009,-33.885,0.5105451477617038,2.687075117077538,-1158.130000000001,10.145073603875332,4.120999999999999,-10.805,-6.4,2.5,2.0,-0.5,-0.53,-0.040000000000000036,-1.5800000000000018,0.3999999999999915,-0.34025,11
6,20151107a,2015,Midwest,First Round,2015 Wichita St.,2015 Indiana,7,10,1,17.299999999999997,10.900000000000002,4.794765917,7.8481000000000005,0.09236405000000003,19.200000000000003,18.4,20.439999999999998,17.5269883,1.2000000000000028,-0.10000000000000142,-31.300000000000004,36.10000000000001,-32.50000000000001,68.69999999999999,4.399999999999999,-77.0,79.60000000000001,25.099999999999994,-27.700000000000003,-32.10000000000001,1.000000000000007,-130.0,-71.60000000000001,-63.00000000000001,11.3813,-15.996799999999997,-8.240499999999999,-15.399999999999991,35.024100000000004,3.2455487471838325,-2.325951388379028,524.1599999999999,-11.027292199015443,35.612,13.480000000000004,-0.8000000000000016,-1.0,-7.400000000000002,-12.591499999999996,-10.617051259999997,0.19999999999999574,6.799999999999997,25.299999999999997,-39.599999999999994,30.5,-61.300000000000004,3.799999999999997,82.19999999999999,-74.2,-13.0,31.5,24.0,-1.000000000000007,130.0,71.60000000000001,63.00000000000001,-14.775400000000003,22.34549999999999,3.6329999999999956,20.299999999999997,-33.42660000000001,-8.690340316969525,3.024099890750836,-524.1599999999999,8.026716100393825,12.32,-12.330000000000005,-6.400000000000002,3.4999999999999964,-8.299999999999997,-0.269999999999996,-0.48,0.76,-1.5599999999999987,-4.8999999999999915,-0.23633000000000004,3
7,20151108a,2015,Midwest,First Round,2015 Kansas,2015 New Mexico St.,2,15,1,9.2,4.600000000000001,12.997880760000001,16.736600000000003,0.25409052600000004,5.300000000000001,4.9,14.090699999999998,11.349462719999991,-4.800000000000004,-7.100000000000001,-33.0,41.400000000000006,-24.5,60.400000000000006,4.5,-81.6,66.6,17.4,-33.2,-31.300000000000004,-9.400000000000006,-121.0,-63.099999999999994,-46.10000000000001,11.938199999999995,-18.635200000000005,-5.4605000000000015,-8.5,28.7932,6.235010373972543,-1.6358183029934126,2000.020000000001,-10.215523402785738,-0.18900000000000006,10.344999999999999,-0.40000000000000036,4.300000000000001,-0.3000000000000007,2.645699999999991,4.6281943199999915,4.600000000000001,6.799999999999997,32.8,-37.60000000000001,21.60000000000001,-60.599999999999994,1.3999999999999986,77.9,-78.8,-15.100000000000001,32.3,32.3,9.400000000000006,121.0,63.099999999999994,46.10000000000001,-16.037900000000008,24.4319,12.725200000000001,11.600000000000001,-30.100999999999996,-8.329896489140282,2.05805819974543,-2000.020000000001,6.753354835279658,-2.3290000000000024,-11.609999999999992,-4.600000000000001,4.199999999999999,-7.699999999999999,0.09000000000000341,-1.8600000000000003,-0.6500000000000001,2.929999999999996,3.0999999999999943,-1.1590900000000004,13
8,20151201a,2015,West,First Round,2015 Wisconsin,2015 Coastal Carolina,1,16,1,39.5,25.999999999999996,16.092935857,31.904000000000003,0.43556255600000005,32.400000000000006,24.2,30.617999999999995,29.137016000000003,1.7000000000000028,0.20000000000000284,-30.799999999999997,47.3,-28.800000000000004,70.6,3.700000000000003,-83.2,78.69999999999999,25.099999999999994,-24.800000000000004,-29.700000000000003,-1.6999999999999957,-136.1,-81.6,-68.10000000000001,15.078199999999999,-20.789099999999998,-12.600700000000002,-27.800000000000004,38.83659999999999,4.206516189205345,-2.0095789751109687,1115.6499999999994,-9.049841855019272,67.43700000000001,14.870000000000005,-8.200000000000003,13.100000000000001,1.9000000000000004,1.285599999999988,3.71430737,3.3999999999999986,7.799999999999997,28.6,-38.39999999999999,39.300000000000004,-65.5,12.899999999999999,84.0,-80.8,-13.600000000000001,23.499999999999993,26.5,1.6999999999999957,136.1,81.6,68.10000000000001,-6.007999999999999,16.585799999999992,3.9384999999999977,30.799999999999997,-32.1167,-11.078274244240532,4.2228430203585425,-1115.6499999999994,10.117843046570473,28.028,-11.420000000000002,-11.2,4.299999999999997,-11.500000000000004,3.3100000000000023,7.23,0.15000000000000013,-7.310000000000002,-4.600000000000001,4.38767,15
9,20151202a,2015,West,First Round,2015 Oregon,2015 Oklahoma St.,8,9,1,-6.5,-2.700000000000001,2.909126241,-2.9944999999999986,-0.0370216470000001,-0.7000000000000011,2.8000000000000007,10.102799999999988,7.426147709999995,-1.8999999999999986,-5.899999999999999,-29.0,45.10000000000001,-28.1,61.8,4.600000000000001,-78.2,81.6,20.800000000000004,-30.300000000000004,-28.60000000000001,-4.0,-126.4,-77.7,-53.1,13.1209,-18.840900000000012,-8.481400000000002,-18.5,31.795,1.8482096769391205,-1.8982127274905198,1377.68,-6.139225923147321,-7.513000000000002,9.975000000000001,3.5000000000000018,-5.800000000000001,-5.6,-13.097999999999999,-9.225818309999994,2.1000000000000014,4.200000000000003,32.1,-42.69999999999999,25.0,-64.60000000000001,1.7000000000000028,78.89999999999999,-78.2,-22.0,29.200000000000003,32.099999999999994,4.0,126.4,77.7,53.1,-11.625999999999998,18.308799999999998,8.711399999999994,24.499999999999993,-32.01180000000001,0.03152242015897855,2.4295528115938314,-1377.68,8.622282250257141,-16.402,-10.600000000000001,0.20000000000000107,-2.5,4.800000000000001,0.6400000000000006,-2.67,-0.6000000000000001,0.759999999999998,3.000000000000007,-1.7772300000000003,1
