game_id,year,region,round,high_bracket_team,low_bracket_team,high_bracket_seed,low_bracket_seed,win,5man_bpm,3man_bpm,wab,kenpom_rtg,torvik_rtg,5man_prpg,3man_prpg,5man_dprpg,3man_dprpg,size,height,experience,bench,raw_tempo,adj_tempo,3pr,3prd,off_dunk_share,off_close2_share,off_far2_share,off_3pt_share,def_dunk_share,def_close2_share,def_far2_share,def_3pt_share,5man_obpm,3man_obpm,kenpom_off,torvik_off,efg_pct,2p_pct,3p_pct,ft_pct,ftr,tor,orb_pct,ast_pct,blk_pct,off_dunk_fg_pct,off_close2_fg_pct,off_far2_fg_pct,off_3pt_fg_pct,5man_dbpm,3man_dbpm,kenpom_def,torvik_def,efgd_pct,2pd_pct,3pd_pct,ftd_pct,ftrd,tord,drb_pct,astd_pct,blked_pct,def_dunk_fg_pct,def_close2_fg_pct,def_far2_fg_pct,def_3pt_fg_pct,net_efg_margin,net_turnover_margin,net_rebounding_margin,net_ftr_margin,rim_efficiency,perimeter_efficiency,three_point_volume_efficiency,shot_quality_variance,rim_to_three_ratio,mid_range_reliance,paint_touch_rate,top5_scoring_concentration,top5_rebounding_concentration,top5_def_rebounding_concentration,bench_scoring_ratio,rotation_balance,tempo_advantage,effective_possession_rate,offensive_versatility_score,size_speed_index,assist_to_usage_ratio,free_throw_advantage,block_efficiency,experience_weighted_production,four_factors_composite,elite_outcome_probability,offense_defense_balance,shooting_variance_resilience,lineup_depth_quality,def_net_efg_margin,def_net_turnover_margin,def_net_rebounding_margin,def_net_ftr_margin,def_rim_efficiency,def_perimeter_efficiency,def_three_point_volume_efficiency,def_shot_quality_variance,def_rim_to_three_ratio,def_mid_range_reliance,def_paint_touch_rate,def_effective_possession_rate,defensive_versatility_score,def_size_speed_index,def_assist_suppression,def_free_throw_advantage,def_block_efficiency,def_experience_impact,def_four_factors_composite,def_lineup_depth_quality
20155618a,2015,Final Four,Championship,2015 Wisconsin,2015 Duke,1,1,0,6.7,8,0.70122952,4.2177,0.008011932,-6.8,-20.7,8.7,21,1.62,2.03,1.02,-4.21,-7.3,-7.5,9.3,-7.8,1,-2.9,-6.6,9.5,-4.4,-9.1,16.8,-7.7,20.1,18.7,21.7603,19.4129138,2,2.2,-32.3,45.9,-39.5,68.9,1.8,-2.2,-82.4,84.7,26.1,-25.4,-32.1,-7.9,-10.6,-17.5434,-16.70068163,-3.6,-0.3,25.4,-37.2,38.7,-66.5,-13.7,5.1,85.2,-89.7,-26.6,30.2,23.8,5.6,-135.4,-76.9,-78.2,12.8057,-17.3175,-5.4563,-5.888308791,-0.429286124,-15.8,-19.3,-0.01,-1.42E-14,0.01,-4.21,-2.872268319,-7.5,37.9934,2.713330112,0.97729,-2.516228151,694.15,-10.19321125,54.66,12.46,-2,0.0566666,3.015810254,-1.4,-5.6,135.4,76.9,78.2,-22.9376,21.8492,3.1444,-1.340051575,-0.08126785,18.8,14.5,-38.4397,-8.150724434,0.97729,4.115213963,-694.15,10.12998871,10.292,-15,-2.7
20165618a,2016,Final Four,Championship,2016 Villanova,2016 North Carolina,2,1,1,-2.5,-0.6,0.421590019,-1.2908,0.017168362,-14.6,-27.5,12.7,26.9,-0.43,-3.17,-0.14,-2.38,-3,-5,8.2,10.8,5,2.9,-10,7.1,-4,-5.1,-5.4,10.6,5.3,6.3,11.3999,13.18547969,1.7,0.1,-29.6,47.6,-36,65,-1.3,6.4,-83.8,81.7,28.1,-23.4,-27.7,-8.7,-7,-12.691,-10.50284881,1.6,2.2,35.1,-40.1,36.4,-64.2,-11.1,-15.8,81.9,-84.1,-24.7,27.1,33.7,0.1,-129.2,-73,-72.4,18.1562,-20.03,-7.3258,3.532731471,0.03449383,-12.6,-27.5,0.01,-0.01,-1.42E-14,-2.38,0.983285567,-5,35.6112,-3.416026115,-2.30441,-2.763191847,613.62,-8.169527969,6.529,11.27,-2,-0.42372089,1.288276527,1,-0.1,129.2,73,72.4,-17.7519,22.5729,16.0825,-1.355823349,-0.696579172,19.4,22.7,-33.1218,-3.54912011,-2.30441,1.884835397,-613.62,9.486402661,-18.545,-12.17,1.7
20175618a,2017,Final Four,Championship,2017 Gonzaga,2017 North Carolina,1,1,0,0,2.2,-0.515814534,5.0447,0.018875237,-17.8,-28.3,11.5,24.7,0.57,1.62,-0.08,-4.64,-1.2,-0.9,-6.8,1.8,0.9,8.6,-2.4,-6.4,-3.7,-3.5,1.6,1.9,4.5,7.2,14.7764,12.86547453,6.5,5.1,-27.6,45.8,-30.4,65.4,4.8,0,-79.2,78.9,27,-20.4,-27.9,-5.5,-5,-9.7321,-8.94988724,6.1,8.9,33.3,-36.5,40.9,-65.9,-16.6,-1.9,84.3,-82.9,-13.9,30.2,35.6,0.4,-131.3,-77.6,-71.3,18.0859,-21.3687,-13.4031,-1.82428783,0.449111019,-15.2,-25.7,0.04,0.07,0.07,-4.64,0.282607363,-0.9,39.1475,3.014835527,1.14912,-2.577768405,707.73,-9.873096549,7.091,15.35,2,-0.77873487,3.41472488,2.7,-0.4,131.3,77.6,71.3,-12.265,23.7845,12.1377,1.451522866,-0.303628542,21.6,25,-33.386,-8.603156489,1.14912,2.865270791,-707.73,8.618701205,-11.969,-11.22,0.5
20185618a,2018,Final Four,Championship,2018 Michigan,2018 Villanova,3,1,0,-11.9,-8.7,-3.75756179,-8.2182,-0.04685283,-17.1,-28.2,7.9,22.3,0.44,2.11,0.32,2.69,-4.8,-3.8,7.6,-16.4,2.7,-0.3,-7.1,7.4,-7.7,2.1,15.2,-17.3,0.6,3.9,11.8749,9.66860721,3.6,3.6,-30.8,41,-44.2,67.6,-0.7,8.2,-83.7,74.9,22.1,-26.7,-33,-13.5,-12.5,-20.0935,-20.18421862,-8.1,-6.7,25.9,-48.4,41.2,-66,-4.4,1.2,79.9,-76.9,-26.8,20.1,26.9,11.7,-133.6,-94.1,-85.4,14.5142,-18.8756,-9.1762,8.249740969,-0.148222764,2.9,-12.8,0.03,0.01,0.03,2.69,-0.970273903,-3.8,37.4404,0.998207791,1.40261,-2.506061746,352.36,-8.917911715,5.118,11.57,-1,-1.44304154,-7.179034982,3.3,-11.7,133.6,94.1,85.4,-19.0898,15.2072,1.2307,5.148817144,0.369321927,4.6,13.2,-40.9734,-2.656535545,1.40261,3.29046854,-352.36,10.87547607,-13.091,-14.44,1
20195618a,2019,Final Four,Championship,2019 Texas Tech,2019 Virginia,3,1,0,-2.2,-2,-4.083160733,-8.9076,-0.023469283,-14.6,-23.6,9.6,20.5,-0.11,-1.36,0.32,2.06,6.6,6.6,-5.4,1,3.1,4.2,2.3,-6.5,-5.2,-2.7,2.1,0.7,-5.2,6.1,0.6103,0.81855627,-2.8,-1.6,-36,37.9,-38.6,64,2.7,-4.8,-76.3,81.6,26.8,-33.5,-34.6,1.8,-7.9,-9.5178,-8.88227072,1.5,6.5,29,-43.8,32.1,-62.3,-1.4,-5.3,80.8,-69.7,-20,33.5,30.7,-4.3,-126.3,-86.9,-70.7,18.382,-25.3904,-17.0775,-2.810063131,0.35528066,-6.9,-20.9,0.03,0.05,0.04,2.06,-0.702972749,6.6,33.8696,5.065760815,-0.84148,-3.14984182,260.97,-7.282211406,-3.52,9.63,-3,-1.144046594,-1.963561104,11.3,4.3,126.3,86.9,70.7,-15.7157,23.3926,12.6179,0.599892493,-0.215335183,7.5,22.5,-34.3561,-3.754605685,-0.84148,2.129970354,-260.97,5.950291626,10.528,-10.44,-9.7
20215618a,2021,Final Four,Championship,2021 Gonzaga,2021 Baylor,1,1,0,9.9,1.9,1.816732199,7.1272,0.019309193,-9.8,-22.2,12.1,23.1,1.45,1.21,-0.47,-4.3,5.1,5.8,-2,-4.7,0.1,14.9,-13.9,-1.1,-5.8,-2.1,6.8,-4.7,19.8,15.8,19.8789,18.87950253,10.1,12.1,-29.5,41.2,-31.6,59.3,-0.5,5.3,-82.9,82.1,34.9,-23.7,-30.3,-2,-14,-12.7522,-12.93598301,-5,-0.9,25.7,-40,47.1,-62.1,-14.1,0.4,82.8,-73.5,-21.3,25.1,26,15.1,-121.4,-77.8,-78.7,27.4564,-24.245,-10.7977,-1.337513838,0.489753716,-0.9,-6.4,0.05,0.08,0.05,-4.3,0.384588157,5.8,38.6576,-2.238434284,0.87986,-2.071648744,200.93,-8.660754559,25.228,14.025,-3,-0.19192231,-3.481459042,-4,-15.1,121.4,77.8,78.7,-15.9392,17.6853,6.8209,6.757785766,-0.07062377,8.8,17.7,-36.7225,-10.70527033,0.87986,2.701577675,-200.93,12.99638629,-13.608,-13.28,-12
20225618a,2022,Final Four,Championship,2022 North Carolina,2022 Kansas,8,1,0,-6.6,-6.8,-6.148716577,-9.4461,-0.084854919,-14,-28.3,13.8,26.6,1.12,1.31,-0.34,-4.99,0.7,1.1,3.2,3.1,4.3,1.6,-4.9,3.2,-3.6,-6.5,3.4,3.1,4.9,2.9,6.9535,5.682496,-1,-1.4,-33.7,47.9,-42.6,65.1,1.5,1.1,-82.5,73.4,18.9,-30.9,-34.4,-6.6,-9.8,-16.3998,-16.1094067,-3.9,-2.8,29.6,-46.1,45.7,-68.1,-12.6,-1.9,81,-79.5,-23.4,25.6,30.2,2.9,-133.2,-86.5,-88.3,14.2986,-22.1927,-10.8256,-1.232035717,0.062584198,-7.7,-17.5,-0.04,-0.07,-0.04,-4.99,-2.123740654,1.1,33.7331,3.767591706,0.93503,-2.325298403,479.83,-8.674106409,4.34,9.785,0,-0.27456819,-0.239345892,-2,-2.9,133.2,86.5,88.3,-18.9463,21.4057,12.0515,-0.301103836,-0.40162263,9.4,15.3,-37.392,-7.303355535,0.93503,2.490793041,-479.83,9.31813569,-18.994,-14.25,-3.2
20235618a,2023,Final Four,Championship,2023 San Diego St.,2023 Connecticut,5,4,0,-13.8,-7.3,0.620181268,-5.1137,-0.028945521,-22.2,-32.9,15.6,28,-1.6,-0.85,1.02,8.42,-2.1,-0.9,4.6,-1.9,3.2,-6.6,3.1,3.5,-6.4,-3.1,4.8,-1.7,-8,1.2,5.9976,3.745105,-4.4,-4.8,-35.6,47.2,-27,63,5.5,-7.1,-80.4,74.3,14.9,-29.7,-36.3,-8.3,-8.6,-11.1114,-9.04937235,-1,-3.3,35.1,-49,39.2,-61.5,-13.4,-9.8,79.2,-60,-21,27,35.4,-3.4,-124.5,-77.1,-66.2,7.8059,-18.1224,-9.8452,-1.10522275,-0.244622022,-16.5,-18.4,-0.05,-0.07,-0.06,8.42,4.429017706,-0.9,30.7094,6.044183961,-0.57671,-2.476013602,1409.88,-6.985284733,-7.086,11.04,-1,-0.942281974,-0.596097461,9.2,3.4,124.5,77.1,66.2,-17.9572,22.0107,13.5429,-3.762207905,-0.18694498,-4.2,10.3,-33.0985,-5.785945728,-0.57671,2.223164253,-1409.88,8.00904668,0.348,-12.575,-0.3
20245618a,2024,Final Four,Championship,2024 Connecticut,2024 Purdue,1,1,1,11.5,5.5,0.61196917,3.0941,0.002620024,-9.6,-22.5,11.2,23.2,0.34,-1.64,-0.01193,0.8,-2.8,-3,3.7,-1.8,8.1,13.1,-16.5,3.4,-6.3,3.7,-1.9,-1.8,18.4,13.3,22.4806,21.06723464,4.8,6.6,-31.9,46.6,-43.7,71.1,11.8,18.8,-79.8,81.7,30.9,-24.6,-32.7,-4.2,-7.8,-19.3859,-20.20609306,-1.1,3.1,27.3,-44.3,24.7,-67.3,-10.6,-10.5,82.1,-75.2,-14.6,23.9,28.4,5.9,-138.4,-74.6,-68.4,29.5858,-26.0678,-10.8164,-2.172219929,0.449212234,-3.3,-10.8,0.02,0.01,0.02,0.8,5.373179341,-3,41.2701,4.652603755,-1.17094,-1.960913082,1555.04,-9.635795715,44.5788,15.5,0,-0.014424686,-0.664544206,-5.1,-5.9,138.4,74.6,68.4,-12.67,14.9528,8.6164,-2.549570018,-0.008077971,11.3,12.6,-37.8662,-4.809108997,-1.17094,2.873926579,-1555.04,6.355165167,-10.493193,-15.68,-3.6
20255618a,2025,Final Four,Championship,2025 Florida,2025 Houston,1,1,1,-2.6,-0.9,-0.3909372,0.7184,-0.01409554,-9.5,-24.2,11.6,23.8,1.15,2.36,-0.22496,-0.22,8.4,8.2,0.5,2.8,5.8,6.4,-6.6,0.2,1.1,12.5,-15.1,2.7,3.8,7.4,16.3815,14.3780195,-0.1,0.3,-33.6,42.7,-33.3,63.3,8.8,7.4,-81.1,72.5,19.9,-31.3,-34.6,-3.6,-8.2,-15.6635,-18.4587957,2,5.1,30.6,-44.8,38.8,-68.4,-7.3,9.2,75.6,-71.5,-17.9,26.8,30.7,-2.1,-131.7,-67.7,-72.1,20.8295,-25.0878,-14.946,-0.001366406,0.275677618,7.4,-9.6,0.01,0.05,0.02,-0.22,0.882780428,8.2,34.7933,6.250611638,1.6107,-2.450662991,549.51,-5.776446458,4.59534,12.55,0,0.974927457,-1.772358328,3.6,2.1,131.7,67.7,72.1,-3.0891,13.6748,12.5456,0.308482443,0.300591724,17.7,25.8,-35.7068,-12.04323377,1.6107,3.00605256,-549.51,7.261127149,-13.915464,-11.94,-4.6
