team_id,year,team,seed,finish,weekend,conference,overall_score,offensive_score,defensive_score
2015 Duke,2015,Duke,1,Champion,3,ACC,8.45,8.96,6.99
2015 Kentucky,2015,Kentucky,1,Final Four,3,SEC,10.0,9.5,10.0
2015 Michigan St.,2015,Michigan St.,7,Final Four,3,Big 10,7.19,6.85,6.37
2015 Wisconsin,2015,Wisconsin,1,Runner Up,3,Big 10,8.89,8.67,8.55
2015 Arizona,2015,Arizona,2,Elite Eight,2,Pac 12,8.35,7.98,7.66
2015 Gonzaga,2015,Gonzaga,2,Elite Eight,2,WCC,8.18,8.49,8.2
2015 Notre Dame,2015,Notre Dame,3,Elite Eight,2,ACC,7.42,8.16,5.99
2015 Louisville,2015,Louisville,4,Sweet 16,2,ACC,6.68,5.49,7.73
2015 NC St.,2015,North Carolina St.,8,Sweet 16,2,ACC,5.48,4.94,5.21
2015 North Carolina,2015,North Carolina,4,Sweet 16,2,ACC,7.77,7.52,6.87
2015 Oklahoma,2015,Oklahoma,3,Sweet 16,2,Big 12,6.79,5.22,7.67
2015 UCLA,2015,UCLA,11,Sweet 16,2,Pac 12,5.05,5.36,4.92
2015 Utah,2015,Utah,5,Sweet 16,2,Pac 12,8.31,7.76,8.22
2015 West Virginia,2015,West Virginia,5,Sweet 16,2,Big 12,6.09,4.84,4.14
2015 Wichita St.,2015,Wichita St.,7,Sweet 16,2,MVC,7.47,6.35,7.21
2015 Xavier,2015,Xavier,6,Sweet 16,2,Big East,5.71,5.9,4.61
2015 Albany,2015,Albany,14,First Round,1,America East,3.08,3.07,2.92
2015 Baylor,2015,Baylor,3,First Round,1,Big 12,7.24,6.55,6.42
2015 Belmont,2015,Belmont,15,First Round,1,OVC,3.52,4.76,3.06
2015 Boise St.,2015,Boise St.,11,First Round,1,MWC,5.79,5.22,6.0
2015 Buffalo,2015,Buffalo,12,First Round,1,MAC,4.73,4.7,4.5
2015 BYU,2015,BYU,11,First Round,1,WCC,5.77,6.52,4.37
2015 Coastal Carolina,2015,Coastal Carolina,16,First Round,1,Big South,2.86,3.18,3.05
2015 Davidson,2015,Davidson,10,First Round,1,A10,6.31,6.42,5.3
2015 Eastern Washington,2015,Eastern Washington,13,First Round,1,Big Sky,3.78,5.09,2.29
2015 Georgia,2015,Georgia,10,First Round,1,SEC,5.56,4.87,5.62
2015 Hampton,2015,Hampton,16,First Round,1,MEAC,0.78,1.09,2.35
2015 Harvard,2015,Harvard,13,First Round,1,Ivy,4.28,3.44,5.01
