Variable,Weight,Score
3man_dbpm,0.09779160989141107,Offensive
5man_obpm,0.15029845440914663,Offensive
assist_to_usage_ratio,0.016778524811945552,Offensive
ast%,0.018867171377858285,Offensive
effective_possession_rate,0.03059154476550018,Offensive
efg%,0.030653540272803103,Offensive
four_factors_composite,0.03673481620592008,Offensive
free_throw_advantage,0.026060618330034625,Offensive
lineup_depth_quality,0.055526977730723466,Offensive
mid_range_reliance,0.009372036342368243,Offensive
net_rebounding_margin,0.018913911848759332,Offensive
net_turnover_margin,0.016025878175261368,Offensive
off_3pt_fg%,0.02104293999605972,Offensive
off_3pt_share,0.007926507961837729,Offensive
off_close2_fg%,0.048164616129895,Offensive
off_close2_share,0.009635003427280542,Offensive
off_dunk_fg%,0.015518084001459006,Offensive
off_dunk_share,0.0392334129617937,Offensive
off_far2_fg%,0.019567883988615576,Offensive
off_far2_share,0.01016799703039034,Offensive
offensive_versatility_score,0.015284819772441092,Offensive
orb%,0.023396521414826458,Offensive
paint_touch_rate,0.015449322129752944,Offensive
perimeter_efficiency,0.017775682965560324,Offensive
rim_efficiency,0.030759714472826355,Offensive
rim_to_three_ratio,0.012042613237458864,Offensive
shot_quality_variance,0.013118413366222353,Offensive
size_speed_index,0.03340986627958182,Offensive
three_point_volume_efficiency,0.012872394118144972,Offensive
tor,0.02171541529769289,Offensive
kenpom_off,0.06456679158666487,Offensive
torvik_off,0.06073691569976369,Offensive
3man_obpm,0.13100067745010133,Defensive
5man_dbpm,0.11570850789363965,Defensive
ast%d,0.022366374964482346,Defensive
def_3pt_fg%,0.03079721141269378,Defensive
def_3pt_share,0.008257698148017535,Defensive
def_assist_suppression,0.03249838248275667,Defensive
def_close2_fg%,0.013255856459747424,Defensive
def_close2_share,0.020406335617367658,Defensive
def_dunk_fg%,0.016005402761231427,Defensive
def_dunk_share,0.02309514330127188,Defensive
def_effective_possession_rate,0.01635287179310972,Defensive
def_experience_impact,0.05158392981102489,Defensive
def_far2_fg%,0.02409034773612657,Defensive
def_far2_share,0.019182682592254384,Defensive
def_four_factors_composite,0.03576966266305353,Defensive
def_free_throw_advantage,0.021895188962649373,Defensive
def_lineup_depth_quality,0.0433398612343782,Defensive
def_mid_range_reliance,0.019330554606759868,Defensive
def_net_rebounding_margin,0.0205002597792398,Defensive
def_net_turnover_margin,0.016879520216005257,Defensive
def_paint_touch_rate,0.015236506212544517,Defensive
def_perimeter_efficiency,0.02863767329274061,Defensive
def_rim_efficiency,0.011888486361349716,Defensive
def_rim_to_three_ratio,0.011318349666510916,Defensive
def_shot_quality_variance,0.015169724529495561,Defensive
def_size_speed_index,0.03528704252449809,Defensive
def_three_point_volume_efficiency,0.008723471871953107,Defensive
defensive_versatility_score,0.01768363721715065,Defensive
drb%,0.012226589871998103,Defensive
efgd%,0.029689665337539476,Defensive
kenpom_def,0.05012894599599772,Defensive
tord,0.008812719070606006,Defensive
torvik_def,0.07288071816170427,Defensive
3man_bpm,0.11323863699922551,Overall
5man_bpm,0.1543508165674524,Overall
bench_scoring_ratio,0.0694439705194474,Overall
elite_outcome_probability,0.03298210563776437,Overall
kenpom_rtg,0.13997917306475266,Overall
rotation_balance,0.0383473009275741,Overall
torvik_rtg,0.12308347536162434,Overall
wab,0.15242520951655164,Overall
offensive_score,0.08974227035142189,Overall
defensive_score,0.08640704105418578,Overall
